callDateTime,priority,district,description,callNumber,incidentLocation,location
10/12/2017 10:05:00 AM,Medium,SW,BEHAVIOR CRISIS,P172850754,2900 RIGGS AV,"2900 RIGGS AV
BALTIMORE, MD
(39.300198, -76.66592)"
10/10/2017 07:05:00 PM,Medium,ND,BEHAVIOR CRISIS,P172832542,2300 N CHARLES ST,"2300 N CHARLES ST
BALTIMORE, MD
(39.315422, -76.616824)"
10/10/2017 07:12:00 PM,Medium,SW,BEHAVIOR CRISIS,P172832566,5100 GREENWICH AV,"5100 GREENWICH AV
BALTIMORE, MD
(39.290757, -76.708704)"
10/11/2017 07:53:00 PM,Medium,NW,BEHAVIOR CRISIS,P172842623,3000 FALLSTAFF RD,"3000 FALLSTAFF RD
BALTIMORE, MD
(39.37016, -76.688468)"
10/10/2017 07:37:00 PM,Medium,ED,BEHAVIOR CRISIS,P172832653,1300 N PATTERSON PARK AV,"1300 N PATTERSON PARK AV
BALTIMORE, MD
(39.305684, -76.585577)"
10/10/2017 08:19:00 PM,Medium,NW,BEHAVIOR CRISIS,P172832775,5100 QUEENSBERRY AV,"5100 QUEENSBERRY AV
BALTIMORE, MD
(39.350027, -76.671939)"
10/07/2017 05:40:00 PM,Medium,NE,BEHAVIOR CRISIS,P172802192,1600 HEATHFIELD RD,"1600 HEATHFIELD RD
BALTIMORE, MD
(39.352306, -76.586221)"
10/11/2017 03:58:00 PM,Medium,CD,BEHAVIOR CRISIS,P172841857,300 LIGHT ST,"300 LIGHT ST
BALTIMORE, MD
(39.284966, -76.613389)"
10/12/2017 09:12:00 AM,Medium,ED,BEHAVIOR CRISIS,P172850614,400 FALLSWAY,"400 FALLSWAY
BALTIMORE, MD
(39.293638, -76.609629)"
10/10/2017 08:33:00 PM,Medium,NW,BEHAVIOR CRISIS,P172832806,3000 GLEN AV,"3000 GLEN AV
BALTIMORE, MD
(39.359735, -76.680612)"
10/10/2017 08:07:00 PM,Medium,SD,BEHAVIOR CRISIS,P172832745,600 CHERRYCREST RD,"600 CHERRYCREST RD
BALTIMORE, MD
(39.248902, -76.621259)"
10/10/2017 07:37:00 PM,Medium,SD,BEHAVIOR CRISIS,P172832657,3200 LILY AV,"3200 LILY AV
BALTIMORE, MD
(39.246646, -76.636816)"
10/12/2017 11:39:00 AM,Medium,SW,BEHAVIOR CRISIS,P172851009,2700 EAGLE ST,"2700 EAGLE ST
BALTIMORE, MD
"
10/12/2017 06:52:00 AM,Medium,ND,BEHAVIOR CRISIS,P172850354,500 ILCHESTER AV,"500 ILCHESTER AV
BALTIMORE, MD
"
11/04/2017 02:15:00 AM,Medium,SD,BEHAVIOR CRISIS,P173080271,0 S CALHOUN ST,"0 S CALHOUN ST
BALTIMORE, MD
"
11/04/2017 02:07:00 AM,Medium,SD,BEHAVIOR CRISIS,P173080255,0 S CALHOUN ST,"0 S CALHOUN ST
BALTIMORE, MD
"
11/03/2017 07:46:00 PM,Medium,WD,BEHAVIOR CRISIS,P173072579,0 N CALHOUN ST,"0 N CALHOUN ST
BALTIMORE, MD
"
11/03/2017 07:17:00 PM,Medium,WD,BEHAVIOR CRISIS,P173072485,1700 VINCENT CT,"1700 VINCENT CT
BALTIMORE, MD
"
11/03/2017 06:59:00 PM,Medium,SD,BEHAVIOR CRISIS,P173072413,4100 TOWNSEND AV,"4100 TOWNSEND AV
BALTIMORE, MD
(39.228919, -76.602322)"
11/03/2017 02:32:00 PM,Medium,ND,BEHAVIOR CRISIS,P173071588,2600 N CHARLES ST,"2600 N CHARLES ST
BALTIMORE, MD
(39.319518, -76.617097)"
11/03/2017 04:52:00 PM,Medium,ED,BEHAVIOR CRISIS,P173071999,1100 N PATTERSON PARK AV,"1100 N PATTERSON PARK AV
BALTIMORE, MD
(39.303928, -76.585445)"
11/03/2017 05:27:00 PM,Medium,CD,BEHAVIOR CRISIS,P173072123,300 W LAFAYETTE AV,"300 W LAFAYETTE AV
BALTIMORE, MD
(39.305339, -76.626107)"
11/03/2017 06:52:00 PM,Medium,WD,BEHAVIOR CRISIS,P173072396,1800 BAKER ST,"1800 BAKER ST
BALTIMORE, MD
(39.30662, -76.647281)"
11/03/2017 06:03:00 PM,Medium,ND,BEHAVIOR CRISIS,P173072245,3200 AVON AV,"3200 AVON AV
BALTIMORE, MD
(39.327314, -76.604641)"
11/03/2017 04:53:00 PM,Medium,ND,BEHAVIOR CRISIS,P173072005,3200 AVON AV,"3200 AVON AV
BALTIMORE, MD
(39.327314, -76.604641)"
11/03/2017 06:21:00 PM,Medium,SD,BEHAVIOR CRISIS,P173072299,700 BLK WASHINGTON BL,"700 BLK
BALTIMORE, MD
"
11/03/2017 09:21:00 AM,Medium,NE,BEHAVIOR CRISIS,P173070751,3300 HARFORD RD,"3300 HARFORD RD
BALTIMORE, MD
(39.328566, -76.583032)"
11/03/2017 12:19:00 PM,Medium,NW,BEHAVIOR CRISIS,P173071231,3900 W FOREST PARK AV,"3900 W FOREST PARK AV
BALTIMORE, MD
(39.32487, -76.685633)"
11/03/2017 11:17:00 AM,Medium,ND,BEHAVIOR CRISIS,P173071058,6300 YORK RD,"6300 YORK RD
BALTIMORE, MD
(39.371012, -76.609799)"
11/03/2017 09:13:00 AM,Medium,NE,BEHAVIOR CRISIS,P173070725,3300 HARFORD RD,"3300 HARFORD RD
BALTIMORE, MD
(39.328566, -76.583032)"
11/03/2017 10:15:00 AM,Medium,WD,BEHAVIOR CRISIS,P173070889,1700 VINCENT CT,"1700 VINCENT CT
BALTIMORE, MD
"
11/03/2017 09:45:00 AM,Medium,CD,BEHAVIOR CRISIS,P173070790,0 HOPKINS PL,"0 HOPKINS PL
BALTIMORE, MD
"
11/03/2017 08:01:00 AM,Medium,CD,BEHAVIOR CRISIS,P173070550,2600 MADISON AV,"2600 MADISON AV
BALTIMORE, MD
(39.315123, -76.640333)"
11/03/2017 07:31:00 AM,Medium,ED,BEHAVIOR CRISIS,P173070487,1800 ORLEANS ST,"1800 ORLEANS ST
BALTIMORE, MD
(39.295292, -76.591603)"
11/03/2017 08:39:00 AM,Medium,CD,BEHAVIOR CRISIS,P173070653,200 ST PAUL PL,"200 ST PAUL PL
BALTIMORE, MD
(39.291421, -76.613933)"
11/03/2017 02:39:00 AM,Medium,NE,BEHAVIOR CRISIS,P173070228,6500 MOYER AV,"6500 MOYER AV
BALTIMORE, MD
(39.358246, -76.545455)"
11/02/2017 09:22:00 PM,Medium,ED,BEHAVIOR CRISIS,P173062834,500 E PRESTON ST,"500 E PRESTON ST
BALTIMORE, MD
(39.304786, -76.60931)"
11/02/2017 09:18:00 PM,Medium,ED,BEHAVIOR CRISIS,P173062820,1200 N ROSE ST,"1200 N ROSE ST
BALTIMORE, MD
(39.305251, -76.582184)"
11/02/2017 11:05:00 PM,Medium,WD,BEHAVIOR CRISIS,P173063069,1700 HARLEM AV,"1700 HARLEM AV
BALTIMORE, MD
(39.296411, -76.64436)"
11/03/2017 12:22:00 AM,Medium,SD,BEHAVIOR CRISIS,P173070048,1100 S CHARLES ST,"1100 S CHARLES ST
BALTIMORE, MD
(39.276635, -76.614356)"
11/03/2017 12:17:00 AM,Medium,ED,BEHAVIOR CRISIS,P173070044,500 E PRESTON ST,"500 E PRESTON ST
BALTIMORE, MD
(39.304786, -76.60931)"
11/03/2017 12:34:00 AM,Medium,WD,BEHAVIOR CRISIS,P173070064,1600 WESTWOOD AV,"1600 WESTWOOD AV
BALTIMORE, MD
(39.309463, -76.643582)"
11/02/2017 09:37:00 PM,Medium,SW,BEHAVIOR CRISIS,P173062859,5100 GREENWICH AV,"5100 GREENWICH AV
BALTIMORE, MD
(39.290757, -76.708704)"
11/02/2017 08:50:00 PM,Medium,CD,BEHAVIOR CRISIS,P173062720,1700 N CALVERT ST,"1700 N CALVERT ST
BALTIMORE, MD
(39.308832, -76.613637)"
11/02/2017 08:41:00 PM,Medium,NE,BEHAVIOR CRISIS,P173062699,5500 FRANKFORD AV,"5500 FRANKFORD AV
BALTIMORE, MD
(39.323217, -76.540673)"
11/02/2017 08:48:00 PM,Medium,SW,BEHAVIOR CRISIS,P173062711,5100 GREENWICH AV,"5100 GREENWICH AV
BALTIMORE, MD
(39.290757, -76.708704)"
11/02/2017 08:22:00 PM,Medium,SW,BEHAVIOR CRISIS,P173062647,5100 GREENWICH AV,"5100 GREENWICH AV
BALTIMORE, MD
(39.290757, -76.708704)"
11/02/2017 07:48:00 PM,Medium,NW,BEHAVIOR CRISIS,P173062540,3400 REISTERSTOWN RD,"3400 REISTERSTOWN RD
BALTIMORE, MD
(39.325524, -76.657931)"
11/02/2017 06:10:00 PM,Medium,ED,BEHAVIOR CRISIS,P173062248,1100 N PATTERSON PARK AV,"1100 N PATTERSON PARK AV
BALTIMORE, MD
(39.303928, -76.585445)"
11/02/2017 04:48:00 PM,Medium,NE,BEHAVIOR CRISIS,P173061946,3600 ECHODALE AV,"3600 ECHODALE AV
BALTIMORE, MD
(39.34467, -76.557739)"
11/02/2017 05:35:00 PM,Medium,NW,BEHAVIOR CRISIS,P173062120,3700 GREENSPRING AV,"3700 GREENSPRING AV
BALTIMORE, MD
(39.332807, -76.65552)"
11/02/2017 03:04:00 PM,Medium,SE,BEHAVIOR CRISIS,P173061614,800 OLDHAM ST,"800 OLDHAM ST
BALTIMORE, MD
(39.283808, -76.555587)"
11/02/2017 02:59:00 PM,Medium,SE,BEHAVIOR CRISIS,P173061596,800 OLDHAM ST,"800 OLDHAM ST
BALTIMORE, MD
(39.283808, -76.555587)"
11/02/2017 02:57:00 PM,Medium,ED,BEHAVIOR CRISIS,P173061594,1700 ENSOR ST,"1700 ENSOR ST
BALTIMORE, MD
(39.309239, -76.603958)"
10/25/2017 08:28:00 PM,Medium,NE,BEHAVIOR CRISIS,P172982784,2400 WELLBRIDGE DR,"2400 WELLBRIDGE DR
BALTIMORE, MD
(39.367701, -76.563856)"
10/25/2017 06:06:00 PM,Medium,ED,BEHAVIOR CRISIS,P172982333,2100 BARCLAY ST,"2100 BARCLAY ST
BALTIMORE, MD
(39.313577, -76.611066)"
10/25/2017 07:19:00 PM,Medium,SW,BEHAVIOR CRISIS,P172982557,800 N WOODINGTON RD,"800 N WOODINGTON RD
BALTIMORE, MD
(39.296338, -76.68608)"
10/25/2017 09:28:00 PM,Medium,WD,BEHAVIOR CRISIS,P172982953,1100 HARLEM AV,"1100 HARLEM AV
BALTIMORE, MD
(39.29678, -76.635728)"
10/25/2017 07:13:00 PM,Medium,ND,BEHAVIOR CRISIS,P172982532,3300 GREENMOUNT AV,"3300 GREENMOUNT AV
BALTIMORE, MD
(39.328593, -76.609429)"
10/25/2017 06:42:00 PM,Medium,NE,BEHAVIOR CRISIS,P172982449,5100 HARFORD RD,"5100 HARFORD RD
BALTIMORE, MD
(39.34813, -76.565032)"
10/26/2017 04:20:00 AM,Medium,ED,BEHAVIOR CRISIS,P172990292,1600 E MADISON ST,"1600 E MADISON ST
BALTIMORE, MD
(39.299413, -76.59577)"
10/22/2017 10:22:00 PM,Medium,SD,BEHAVIOR CRISIS,P172952530,1400 LOCUST ST,"1400 LOCUST ST
BALTIMORE, MD
(39.22669, -76.591327)"
10/23/2017 12:41:00 AM,Medium,CD,BEHAVIOR CRISIS,P172960077,2500 EUTAW PL,"2500 EUTAW PL
BALTIMORE, MD
(39.315032, -76.63845)"
10/22/2017 04:31:00 PM,Medium,SE,BEHAVIOR CRISIS,P172951624,400 N GLOVER ST,"400 N GLOVER ST
BALTIMORE, MD
(39.296063, -76.579957)"
10/22/2017 06:19:00 PM,Medium,NE,BEHAVIOR CRISIS,P172951917,1500 E 36TH ST,"1500 E 36TH ST
BALTIMORE, MD
(39.332218, -76.594087)"
10/22/2017 07:02:00 PM,Medium,SE,BEHAVIOR CRISIS,P172952044,1600 CHARLOTTE AV,"1600 CHARLOTTE AV
BALTIMORE, MD
(39.274603, -76.54048)"
10/22/2017 07:12:00 PM,Medium,NE,BEHAVIOR CRISIS,P172952075,4800 HARFORD RD,"4800 HARFORD RD
BALTIMORE, MD
(39.344814, -76.567633)"
10/22/2017 07:49:00 PM,Medium,CD,BEHAVIOR CRISIS,P172952174,700 GEORGE ST,"700 GEORGE ST
BALTIMORE, MD
(39.295578, -76.62956)"
10/22/2017 12:49:00 PM,Medium,NW,BEHAVIOR CRISIS,P172951065,3000 THORNDALE AV,"3000 THORNDALE AV
BALTIMORE, MD
(39.346798, -76.669822)"
10/22/2017 01:58:00 PM,Medium,ED,BEHAVIOR CRISIS,P172951237,2300 E MONUMENT ST,"2300 E MONUMENT ST
BALTIMORE, MD
(39.298751, -76.584865)"
10/22/2017 10:31:00 AM,Medium,NW,BEHAVIOR CRISIS,P172950807,2300 ANOKA AV,"2300 ANOKA AV
BALTIMORE, MD
(39.321409, -76.655665)"
10/22/2017 09:33:00 AM,Medium,SW,BEHAVIOR CRISIS,P172950705,3800 OLD FREDERICK RD,"3800 OLD FREDERICK RD
BALTIMORE, MD
(39.283925, -76.67957)"
10/22/2017 08:17:00 AM,Medium,NW,BEHAVIOR CRISIS,P172950600,6600 REISTERSTOWN RD,"6600 REISTERSTOWN RD
BALTIMORE, MD
(39.357134, -76.703817)"
10/22/2017 11:54:00 AM,Medium,CD,BEHAVIOR CRISIS,P172950940,0 N EUTAW ST,"0 N EUTAW ST
BALTIMORE, MD
"
10/21/2017 11:06:00 PM,Medium,SE,BEHAVIOR CRISIS,P172942935,400 N MONTFORD AV,"400 N MONTFORD AV
BALTIMORE, MD
(39.296018, -76.583541)"
10/21/2017 07:30:00 PM,Medium,NE,BEHAVIOR CRISIS,P172942290,5700 BEECHDALE AV,"5700 BEECHDALE AV
BALTIMORE, MD
(39.357344, -76.580778)"
10/22/2017 12:59:00 AM,Medium,NW,BEHAVIOR CRISIS,P172950118,2300 ANOKA AV,"2300 ANOKA AV
BALTIMORE, MD
(39.321409, -76.655665)"
10/21/2017 09:00:00 PM,Medium,NE,BEHAVIOR CRISIS,P172942590,5000 WALTHER AV,"5000 WALTHER AV
BALTIMORE, MD
(39.343861, -76.560404)"
10/21/2017 11:46:00 PM,Medium,SE,BEHAVIOR CRISIS,P172943031,400 N MONTFORD AV,"400 N MONTFORD AV
BALTIMORE, MD
(39.296018, -76.583541)"
10/21/2017 05:25:00 PM,Medium,NW,BEHAVIOR CRISIS,P172941924,2900 REISTERSTOWN RD,"2900 REISTERSTOWN RD
BALTIMORE, MD
(39.321108, -76.654567)"
10/21/2017 05:31:00 PM,High,NW,BEHAVIOR CRISIS,P172941933,2900 REISTERSTOWN RD,"2900 REISTERSTOWN RD
BALTIMORE, MD
(39.321108, -76.654567)"
10/21/2017 02:32:00 PM,Medium,WD,BEHAVIOR CRISIS,P172941442,1600 LORMAN CT,"1600 LORMAN CT
BALTIMORE, MD
(39.303942, -76.643234)"
10/21/2017 03:11:00 PM,Medium,WD,BEHAVIOR CRISIS,P172941531,1000 W LANVALE ST,"1000 W LANVALE ST
BALTIMORE, MD
(39.298004, -76.634217)"
10/21/2017 02:46:00 PM,Medium,SE,BEHAVIOR CRISIS,P172941467,300 S DALLAS CT,"300 S DALLAS CT
BALTIMORE, MD
(39.287505, -76.596494)"
10/21/2017 03:39:00 PM,Medium,WD,BEHAVIOR CRISIS,P172941620,600 N MOUNT ST,"600 N MOUNT ST
BALTIMORE, MD
(39.295256, -76.64414)"
10/21/2017 08:21:00 PM,Medium,NE,BEHAVIOR CRISIS,P172942456,5300 LOCH RAVEN BL,"5300 LOCH
BALTIMORE, MD
"
10/21/2017 05:40:00 PM,Medium,SE,BEHAVIOR CRISIS,P172941974,0 S PATTERSON PARK AV,"0 S PATTERSON PARK AV
BALTIMORE, MD
"
10/21/2017 01:00:00 PM,Medium,CD,BEHAVIOR CRISIS,P172941210,700 DRUID PARK LAKE DR,"700 DRUID PARK LAKE DR
BALTIMORE, MD
(39.316679, -76.630421)"
10/21/2017 09:38:00 AM,Medium,SD,BEHAVIOR CRISIS,P172940765,3600 10TH ST,"3600 10TH ST
BALTIMORE, MD
(39.233802, -76.596031)"
10/21/2017 12:42:00 PM,Medium,WD,BEHAVIOR CRISIS,P172941166,2300 HARLEM AV,"2300 HARLEM AV
BALTIMORE, MD
(39.296312, -76.653495)"
10/21/2017 10:00:00 AM,Medium,WD,BEHAVIOR CRISIS,P172940798,1000 N GILMOR ST,"1000 N GILMOR ST
BALTIMORE, MD
(39.300367, -76.643014)"
10/21/2017 07:04:00 AM,Medium,SW,BEHAVIOR CRISIS,P172940548,800 PRIMSON AV,"800 PRIMSON AV
BALTIMORE, MD
(39.27385, -76.674527)"
10/21/2017 09:11:00 AM,Medium,WD,BEHAVIOR CRISIS,P172940707,300 N CALHOUN ST,"300 N CALHOUN ST
BALTIMORE, MD
(39.292317, -76.639773)"
10/21/2017 12:14:00 AM,Medium,NW,BEHAVIOR CRISIS,P172940050,4000 CEDARDALE RD,"4000 CEDARDALE RD
BALTIMORE, MD
(39.33296, -76.670134)"
10/20/2017 08:11:00 PM,Medium,NW,BEHAVIOR CRISIS,P172932632,4000 SPRINGDALE AV,"4000 SPRINGDALE AV
BALTIMORE, MD
(39.326094, -76.687188)"
10/20/2017 06:51:00 PM,Medium,NW,BEHAVIOR CRISIS,P172932384,3500 W FOREST PARK AV,"3500 W FOREST PARK AV
BALTIMORE, MD
(39.324198, -76.675277)"
10/20/2017 11:06:00 PM,Medium,NE,BEHAVIOR CRISIS,P172933143,4900 MORELLO RD,"4900 MORELLO RD
BALTIMORE, MD
(39.347245, -76.571249)"
10/20/2017 09:14:00 PM,High,SD,BEHAVIOR CRISIS,P172932819,3000 LORENA AV,"3000 LORENA AV
BALTIMORE, MD
(39.256256, -76.652939)"
10/20/2017 09:30:00 PM,Medium,WD,BEHAVIOR CRISIS,P172932877,500 BLK N WARWICK AV,"500 BLK N WARWICK AV
BALTIMORE, MD
(39.294513, -76.656313)"
10/20/2017 09:43:00 PM,Medium,NE,BEHAVIOR CRISIS,P172932921,3000 KENYON AV,"3000 KENYON AV
BALTIMORE, MD
(39.32486, -76.568611)"
10/20/2017 08:38:00 PM,Medium,NE,BEHAVIOR CRISIS,P172932713,1700 E BELVEDERE AV,"1700 E BELVEDERE AV
BALTIMORE, MD
(39.357647, -76.581969)"
10/20/2017 11:03:00 PM,Medium,SW,BEHAVIOR CRISIS,P172933135,3900 EDMONDSON AV,"3900 EDMONDSON AV
BALTIMORE, MD
(39.293856, -76.681354)"
10/20/2017 06:58:00 PM,Medium,SW,BEHAVIOR CRISIS,P172932395,3300 W BALTIMORE ST,"3300 W BALTIMORE ST
BALTIMORE, MD
(39.285795, -76.672607)"
10/21/2017 04:36:00 AM,Medium,CD,BEHAVIOR CRISIS,P172940433,0 N CHARLES ST,"0 N CHARLES ST
BALTIMORE, MD
"
10/20/2017 08:00:00 AM,Medium,SE,BEHAVIOR CRISIS,P172930574,2000 E BALTIMORE ST,"2000 E BALTIMORE ST
BALTIMORE, MD
(39.291722, -76.588992)"
10/20/2017 10:23:00 AM,Medium,SW,BEHAVIOR CRISIS,P172930874,2900 PRESBURY ST,"2900 PRESBURY ST
BALTIMORE, MD
(39.307205, -76.666145)"
10/20/2017 05:32:00 PM,Medium,NE,BEHAVIOR CRISIS,P172932106,3000 GLENMORE AV,"3000 GLENMORE AV
BALTIMORE, MD
(39.356613, -76.557711)"
10/19/2017 11:55:00 PM,Medium,NW,BEHAVIOR CRISIS,P172923036,5000 ARBUTUS AV,"5000 ARBUTUS AV
BALTIMORE, MD
(39.254556, -76.688433)"
10/19/2017 10:47:00 PM,Medium,CD,BEHAVIOR CRISIS,P172922871,600 WASHINGTON PL,"600 WASHINGTON PL
BALTIMORE, MD
(39.296585, -76.615778)"
10/19/2017 09:36:00 PM,Medium,SW,BEHAVIOR CRISIS,P172922693,2200 1/2 ALLENDALE RD,"2200 1 2 ALLENDALE RD
BALTIMORE, MD
(39.312675, -76.679854)"
10/20/2017 03:05:00 AM,Medium,CD,BEHAVIOR CRISIS,P172930268,100 W LEXINGTON ST,"100 W LEXINGTON ST
BALTIMORE, MD
(39.291627, -76.617356)"
10/20/2017 04:31:00 PM,Medium,CD,BEHAVIOR CRISIS,P172931936,400 BLK E PRATT ST,"400 BLK E PRATT ST
BALTIMORE, MD
(39.286665, -76.609326)"
